시군구,전용면적(㎡),계약년월,거래금액(만원),층,건축년도
강원도 강릉시 견소동,84.945,202208,"26,000",1,1997
강원도 강릉시 견소동,43.38,202208,"16,500",12,1997
강원도 강릉시 견소동,59.99,202208,"28,500",13,2005
강원도 강릉시 견소동,84.99,202208,"36,000",9,2005
강원도 강릉시 견소동,59.99,202208,"27,000",7,2005
강원도 강릉시 교동,135.1727,202208,"58,000",3,2009
강원도 강릉시 교동,84.9855,202208,"48,500",12,2009
강원도 강릉시 교동,84.9855,202208,"50,000",14,2009
강원도 강릉시 교동,84.84,202208,"39,500",14,1999
강원도 강릉시 교동,51.66,202208,"9,800",3,1987
강원도 강릉시 교동,40.86,202208,"8,500",2,1988
강원도 강릉시 교동,48.6,202208,"12,500",3,1987
강원도 강릉시 교동,27.75,202208,"7,000",1,1987
강원도 강릉시 교동,71.175,202208,"14,800",7,1992
강원도 강릉시 내곡동,24.795,202208,"5,800",1,1988
강원도 강릉시 내곡동,49.94,202208,"7,700",5,1992
강원도 강릉시 내곡동,59.84,202208,"19,500",3,1998
강원도 강릉시 내곡동,59.84,202208,"18,000",16,1998
강원도 강릉시 내곡동,39.3,202208,"9,800",1,1989
강원도 강릉시 내곡동,59.97,202208,"17,600",3,1997
강원도 강릉시 내곡동,59.96,202208,"24,000",15,2022
강원도 강릉시 내곡동,49.967,202208,"20,000",19,2022
강원도 강릉시 내곡동,59.96,202208,"21,694",12,2022
강원도 강릉시 노암동,49.22,202208,"12,400",2,1984
강원도 강릉시 노암동,59.994,202208,"14,500",5,2000
강원도 강릉시 노암동,39.762,202208,"13,200",14,2000
강원도 강릉시 노암동,59.944,202208,"19,000",1,1998
강원도 강릉시 노암동,50.515,202208,"8,800",3,1994
강원도 강릉시 송정동,155.416,202208,"75,000",8,2007
강원도 강릉시 송정동,155.416,202208,"75,000",8,2007
강원도 강릉시 송정동,124.837,202208,"64,000",7,2007
강원도 강릉시 송정동,72.86,202208,"21,000",8,1992
강원도 강릉시 송정동,84.544,202208,"25,200",9,1992
강원도 강릉시 송정동,84.93,202208,"60,500",15,2019
강원도 강릉시 송정동,49.68,202208,"14,000",5,1988
강원도 강릉시 연곡면 영진리,43.2,202208,"7,200",12,1999
강원도 강릉시 연곡면 영진리,43.2,202208,"7,200",8,1999
강원도 강릉시 연곡면 영진리,43.2,202208,"8,000",8,1999
강원도 강릉시 연곡면 영진리,30.24,202208,"7,400",10,1999
강원도 강릉시 연곡면 영진리,30.24,202208,"7,000",7,1999
강원도 강릉시 연곡면 영진리,43.2,202208,"8,900",7,1999
강원도 강릉시 연곡면 영진리,43.2,202208,"8,000",8,1999
강원도 강릉시 연곡면 영진리,43.2,202208,"8,000",6,1999
강원도 강릉시 연곡면 영진리,30.24,202208,"6,500",9,1999
강원도 강릉시 연곡면 영진리,43.2,202208,"8,500",6,1999
강원도 강릉시 연곡면 영진리,59.987,202208,"22,000",11,2005
강원도 강릉시 연곡면 영진리,84.8923,202208,"28,500",9,2005
강원도 강릉시 연곡면 영진리,59.987,202208,"19,500",6,2005
강원도 강릉시 연곡면 영진리,84.9157,202208,"26,000",4,2008
강원도 강릉시 연곡면 영진리,29.9674,202208,"15,200",12,2019
강원도 강릉시 입암동,45.37,202208,"9,600",2,1993
강원도 강릉시 입암동,84.77,202208,"34,500",13,2007
강원도 강릉시 입암동,84.88,202208,"20,000",13,1992
강원도 강릉시 입암동,59.685,202208,"12,500",5,1993
강원도 강릉시 입암동,59.685,202208,"13,800",7,1993
강원도 강릉시 입암동,39.85,202208,"5,900",5,2001
강원도 강릉시 입암동,39.85,202208,"6,500",3,2001
강원도 강릉시 입암동,46.74,202208,"14,000",2,1986
강원도 강릉시 입암동,39.72,202208,"13,000",5,1986
강원도 강릉시 입암동,39.72,202208,"12,400",1,1986
강원도 강릉시 입암동,39.72,202208,"14,800",4,1986
강원도 강릉시 입암동,39.3,202208,"11,400",5,1990
강원도 강릉시 입암동,39.3,202208,"12,800",5,1990
강원도 강릉시 입암동,46.68,202208,"15,000",1,1990
강원도 강릉시 입암동,59.8,202208,"17,200",10,1996
강원도 강릉시 입암동,59.8,202208,"19,200",4,1996
강원도 강릉시 입암동,39.99,202208,"8,500",1,1996
강원도 강릉시 입암동,49.97,202208,"13,400",11,1996
강원도 강릉시 입암동,49.62,202208,"15,000",3,1998
강원도 강릉시 입암동,49.62,202208,"15,000",5,1998
강원도 강릉시 입암동,49.62,202208,"14,450",5,1998
강원도 강릉시 입암동,49.62,202208,"14,400",3,1998
강원도 강릉시 입암동,49.62,202208,"14,500",15,1998
강원도 강릉시 입암동,59.99,202208,"20,800",10,1998
강원도 강릉시 입암동,49.62,202208,"14,500",3,1998
강원도 강릉시 입암동,49.62,202208,"14,200",2,1998
강원도 강릉시 입암동,59.99,202208,"17,200",1,1998
강원도 강릉시 입암동,59.99,202208,"19,000",8,1998
강원도 강릉시 입암동,59.99,202208,"17,200",1,1998
강원도 강릉시 입암동,49.62,202208,"14,500",2,1998
강원도 강릉시 입암동,59.99,202208,"16,000",1,1998
강원도 강릉시 입암동,49.62,202208,"15,000",3,1998
강원도 강릉시 입암동,49.62,202208,"14,400",6,1998
강원도 강릉시 입암동,79.191,202208,"39,500",10,2019
강원도 강릉시 입암동,39.348,202208,"7,200",5,1998
강원도 강릉시 입암동,39.348,202208,"6,500",9,1998
강원도 강릉시 입암동,39.348,202208,"5,600",3,1998
강원도 강릉시 입암동,34.722,202208,"6,700",7,1998
강원도 강릉시 저동,59.785,202208,"30,000",1,1996
강원도 강릉시 저동,59.785,202208,"30,000",4,1996
