거래금액(만원),전용면적(㎡),계약년월,층,건축년도,큰지역,세부지역
6000,59.49,202302,6,1992,0,0
17850,84.842,202302,2,2007,0,0
7000,75.36,202302,1,1991,0,0
32700,127.9437,202302,2,2008,0,0
20700,59.87,202302,13,2018,0,0
15000,59.83,202302,1,1998,0,0
10000,73.33,202302,4,1992,0,0
18200,84.92,202302,2,2004,0,0
16600,83.58,202302,6,2004,0,0
33500,84.93,202302,2,2007,0,1
26000,59.886,202302,10,1998,0,1
25500,84.96,202302,17,1997,0,1
35000,84.89,202302,9,2004,0,1
29000,84.96,202302,5,1997,0,1
25000,59.92,202302,8,2003,0,1
25000,59.92,202302,2,2003,0,1
35700,84.8,202302,2,2003,0,1
89900,84.9948,202302,5,2022,0,1
95000,99.9962,202302,3,2022,0,1
102000,99.9962,202302,14,2022,0,1
112000,99.9962,202302,24,2022,0,1
89000,84.9948,202302,17,2022,0,1
88000,84.9948,202302,9,2022,0,1
92000,84.9948,202302,7,2022,0,1
89000,84.9961,202302,10,2022,0,1
67460,84.8288,202302,8,2022,0,1
74000,84.9481,202302,21,2022,0,1
73100,84.9481,202302,20,2022,0,1
86700,84.99,202302,13,2022,0,1
74000,84.9956,202302,11,2018,0,1
70500,84.9832,202302,5,2018,0,1
75000,84.9956,202302,17,2018,0,1
72000,84.9956,202302,9,2018,0,1
73000,84.9956,202302,13,2018,0,1
67500,84.9832,202302,3,2018,0,1
74250,84.9956,202302,10,2018,0,1
70000,84.9832,202302,4,2018,0,1
59000,84.9832,202302,1,2018,0,1
48000,59.95,202302,19,2015,0,1
59000,84.93,202302,8,2015,0,1
47500,59.95,202302,18,2015,0,1
56500,84.99,202302,25,2015,0,1
50500,59.74,202302,9,2013,0,1
49000,59.74,202302,12,2013,0,1
59800,84.88,202302,16,2013,0,1
53500,74.97,202302,12,2013,0,1
56000,84.93,202302,4,2013,0,1
59000,84.93,202302,10,2013,0,1
54000,74.97,202302,13,2013,0,1
55000,84.79,202302,3,2013,0,1
56500,84.98,202302,6,2013,0,1
64000,84.9552,202302,20,2017,0,1
60000,84.9491,202302,1,2017,0,1
60000,69.6752,202302,19,2017,0,1
61000,69.6752,202302,20,2017,0,1
66000,84.9609,202302,14,2012,0,1
72800,74.988,202302,12,2015,0,1
75500,84.739,202302,14,2015,0,1
74800,84.762,202302,20,2015,0,1
70000,74.988,202302,13,2015,0,1
64600,84.97,202302,7,2014,0,1
66000,84.97,202302,9,2014,0,1
66000,84.98,202302,20,2014,0,1
66000,84.98,202302,20,2014,0,1
66000,84.98,202302,13,2014,0,1
54000,59.98,202302,24,2020,0,1
55500,59.95,202302,39,2020,0,1
58500,59.95,202302,38,2020,0,1
55000,59.95,202302,9,2020,0,1
56000,84.99,202302,10,2009,0,1
55000,84.99,202302,19,2009,0,1
53500,84.99,202302,16,2009,0,1
55000,84.99,202302,11,2009,0,1
27500,57,202302,6,1991,0,1
35000,84.6,202302,15,1991,0,1
48000,59.702,202302,11,2009,0,1
40000,59.702,202302,2,2009,0,1
55000,84.9465,202302,2,2012,0,1
56700,76.0404,202302,20,2017,0,1
63000,84.0785,202302,14,2017,0,1
61700,84.0785,202302,10,2017,0,1
57000,76.1337,202302,7,2018,0,1
57000,64.9773,202302,9,2015,0,1
52500,74.6681,202302,17,2015,0,1
53500,64.9773,202302,17,2015,0,1
72500,84.7815,202302,11,2015,0,1
60500,99.47,202302,16,2013,0,1
65000,100.1,202302,13,2012,0,1
66000,100.34,202302,11,2012,0,1
65000,100.34,202302,17,2012,0,1
57700,75.426,202302,24,2012,0,1
58300,75.6015,202302,2,2012,0,1
59900,75.426,202302,27,2012,0,1
57300,75.426,202302,5,2012,0,1
58300,75.426,202302,8,2012,0,1
73000,84.9984,202302,15,2012,0,1
62000,75.6015,202302,23,2012,0,1
58000,75.426,202302,3,2012,0,1
30000,73.16,202302,14,2003,0,1
32000,84.32,202302,12,2003,0,1
23000,45.504,202302,14,2019,0,1
79000,84.9884,202302,13,2019,0,1
73000,84.9884,202302,20,2019,0,1
64500,72.936,202302,16,2020,0,1
71500,84.968,202302,3,2020,0,1
71500,84.968,202302,1,2020,0,1
43000,59.4,202302,3,1997,0,1
29500,68.83,202302,5,1991,0,1
46000,114,202302,2,1995,0,1
44000,84.37,202302,4,2004,0,1
54000,84.8753,202302,18,2004,0,1
45500,68.27,202302,16,2005,0,1
57000,84.91,202302,11,2005,0,1
59600,84.91,202302,6,2005,0,1
59200,84.91,202302,12,2005,0,1
58000,84.91,202302,11,2005,0,1
30000,131.44,202302,1,1992,0,1
60000,134.91,202302,15,1994,0,1
59000,134.91,202302,14,1994,0,1
45500,84.93,202302,4,1994,0,1
50300,84.93,202302,5,1994,0,1
34500,68.98,202302,2,1995,0,1
34700,68.98,202302,3,1995,0,1
34000,68.98,202302,7,1995,0,1
38500,68.98,202302,13,1995,0,1
35000,68.98,202302,3,1995,0,1
21000,59.98,202302,7,1996,0,1
33000,59.97,202302,11,1996,0,1
29500,59.98,202302,4,1996,0,1
32500,59.56,202302,4,1996,0,1
32000,59.97,202302,12,1996,0,1
30000,59.97,202302,6,1996,0,1
29600,59.97,202302,17,1996,0,1
29500,59.93,202302,3,1996,0,1
22900,39.99,202302,2,1996,0,1
28000,59.98,202302,8,1996,0,1
52500,84.6,202302,14,2008,0,1
49500,84.97,202302,4,2008,0,1
49500,84.97,202302,4,2008,0,1
55000,84.81,202302,12,2008,0,1
53500,84.81,202302,11,2008,0,1
29700,59.04,202302,1,1995,0,1
31500,59.04,202302,13,1995,0,1
33100,59.04,202302,5,1995,0,1
32000,59.04,202302,5,1995,0,1
29400,59.04,202302,1,1995,0,1
35000,59.4,202302,15,1994,0,1
34000,59.34,202302,15,1995,0,1
34700,59.34,202302,3,1995,0,1
30000,49.77,202302,13,1995,0,1
30000,49.77,202302,13,1995,0,1
30000,49.77,202302,11,1995,0,1
33000,49.77,202302,15,1995,0,1
25400,45.36,202302,13,1994,0,1
27200,45.36,202302,7,1994,0,1
51500,73.02,202302,7,1994,0,1
25300,45.48,202302,3,1995,0,1
25000,45.48,202302,11,1995,0,1
26000,45.48,202302,15,1995,0,1
22000,39.96,202302,2,1996,0,1
31700,51.03,202302,7,1996,0,1
23950,43.76,202302,3,1995,0,1
26000,43.76,202302,12,1995,0,1
24000,43.76,202302,5,1995,0,1
57000,99.78,202302,18,1997,0,1
57000,99.78,202302,18,1997,0,1
44000,84.98,202302,19,1998,0,1
45000,84.98,202302,15,1998,0,1
29000,59.56,202302,1,1997,0,1
43800,84.9,202302,13,1998,0,1
42000,84.79,202302,3,1998,0,1
47000,84.79,202302,9,1998,0,1
30000,59.97,202302,11,1996,0,1
35500,59.56,202302,20,1996,0,1
35000,59.97,202302,7,1996,0,1
35000,59.97,202302,7,1996,0,1
30000,59.56,202302,8,1996,0,1
20000,39.99,202302,1,1996,0,1
45500,78.0223,202302,9,2006,0,1
70000,122.7483,202302,15,2009,0,1
48000,59.9368,202302,15,2009,0,1
51900,59.94,202302,6,2020,0,1
66000,74.4654,202302,10,2019,0,1
71500,84.812,202302,11,2019,0,1
67000,74.4654,202302,12,2019,0,1
57000,59.8179,202302,17,2020,0,1
58000,59.8179,202302,19,2020,0,1
59000,59.9234,202302,4,2020,0,1
63000,59.9234,202302,10,2020,0,1
62000,59.9482,202302,23,2020,0,1
62000,59.9482,202302,23,2020,0,1
63000,59.9482,202302,24,2020,0,1
